Q#,Section,Question,Current Physics Status,Required ToE Result,Existing Candidate Approaches,What Remains Unexplained,Falsifiable Test
151,XVI. Selection and Uniqueness,Are the laws of physics uniquely determined?,Open; the same landscape problem applies.,"String landscape (~10^500 vacua); anthropic selection principle (Susskind - contested, criticized as unfalsifiable by much of the field)","String landscape (~10^500 vacua); anthropic selection principle (Susskind - contested, criticized as unfalsifiable by much of the field)",Same as Question 147.,None confirmed.
152,XVI. Selection and Uniqueness,Does mathematical consistency alone select the observed universe?,"No, as currently understood. Many mathematically consistent vacua exist within the landscape.",A demonstration that consistency alone is or is not sufficient.,"String landscape (~10^500 vacua); anthropic selection principle (Susskind - contested, criticized as unfalsifiable by much of the field)",Consistency alone under-determines the outcome within known frameworks.,N/A
153,XVI. Selection and Uniqueness,"If not, what additional physical principle performs the selection?",Open. Same as Question 149.,"String landscape (~10^500 vacua); anthropic selection principle (Susskind - contested, criticized as unfalsifiable by much of the field)","String landscape (~10^500 vacua); anthropic selection principle (Susskind - contested, criticized as unfalsifiable by much of the field)",Same as Question 147.,None confirmed.
154,XVI. Selection and Uniqueness,"Can anthropic reasoning be avoided, derived, or rigorously constrained?",Open and actively debated within the philosophy of physics community; not resolved either way.,"A rigorous framework, or a decisive argument that none is possible.","Various proposed measures on the landscape (measure problem, itself unresolved)",The 'measure problem' of how to weight possibilities within the landscape is itself unsolved.,None confirmed.
155,XVII. Empirical Test,What does the theory predict that existing theories do not?,Not established for any confirmed unification candidate.,"A distinctive, confirmed prediction.","Proton decay searches (Super-Kamiokande and successors - largely exclude minimal GUTs); Lorentz-violation searches via gamma-ray burst timing (no violation found); LHC supersymmetry searches (no detection, simplest models disfavored); primordial gravitational wave B-mode searches (no confirmed detection)","The central weakness of current quantum gravity/unification research: no candidate theory has produced a distinctive, tested, confirmed prediction distinguishing it from the Standard Model plus General Relativity. The relevant energy scale, roughly 10^19 GeV, is far beyond the reach of any conceivable particle collider.",See individual test entries in this section.
156,XVII. Empirical Test,Which prediction is experimentally distinguishable?,None confirmed as of 2026.,Same as above.,"Proton decay searches (Super-Kamiokande and successors - largely exclude minimal GUTs); Lorentz-violation searches via gamma-ray burst timing (no violation found); LHC supersymmetry searches (no detection, simplest models disfavored); primordial gravitational wave B-mode searches (no confirmed detection)","The central weakness of current quantum gravity/unification research: no candidate theory has produced a distinctive, tested, confirmed prediction distinguishing it from the Standard Model plus General Relativity. The relevant energy scale, roughly 10^19 GeV, is far beyond the reach of any conceivable particle collider.",N/A
157,XVII. Empirical Test,What observable quantity differs from Standard Model + GR predictions?,None confirmed as of 2026.,Same as above.,"Proton decay searches (Super-Kamiokande and successors - largely exclude minimal GUTs); Lorentz-violation searches via gamma-ray burst timing (no violation found); LHC supersymmetry searches (no detection, simplest models disfavored); primordial gravitational wave B-mode searches (no confirmed detection)","The central weakness of current quantum gravity/unification research: no candidate theory has produced a distinctive, tested, confirmed prediction distinguishing it from the Standard Model plus General Relativity. The relevant energy scale, roughly 10^19 GeV, is far beyond the reach of any conceivable particle collider.",N/A
158,XVII. Empirical Test,"At what energy, distance, time, or precision should the difference appear?","Generally expected near the Planck scale (~10^19 GeV) for most candidates, far beyond current experimental reach; some phenomenological models predict lower-scale, currently testable signatures.","A confirmed, accessible energy or precision regime.",Lorentz-violation phenomenology; some large-extra-dimension models predict TeV-scale signatures (excluded so far at LHC),No confirmed low-scale signature has been found.,LHC extra-dimension searches (null so far).
159,XVII. Empirical Test,What experiment could falsify the theory?,Varies by candidate; string theory's landscape flexibility has been criticized as making it difficult to falsify in practice.,"A clearly specified, feasible falsification test.","Proton decay searches (Super-Kamiokande and successors - largely exclude minimal GUTs); Lorentz-violation searches via gamma-ray burst timing (no violation found); LHC supersymmetry searches (no detection, simplest models disfavored); primordial gravitational wave B-mode searches (no confirmed detection)","Falsifiability itself is contested for some candidates, notably string theory as currently formulated.",N/A
160,XVII. Empirical Test,What observation would conclusively rule out the theory?,Same status as Question 159.,Same as above.,"Proton decay searches (Super-Kamiokande and successors - largely exclude minimal GUTs); Lorentz-violation searches via gamma-ray burst timing (no violation found); LHC supersymmetry searches (no detection, simplest models disfavored); primordial gravitational wave B-mode searches (no confirmed detection)",Same as Question 159.,N/A
161,XVII. Empirical Test,"Does the theory make risky predictions, or merely accommodate existing observations?",A live criticism within the field; some argue string theory and its landscape primarily accommodate rather than predict.,"Demonstrated risky, falsifiable predictions.","Proton decay searches (Super-Kamiokande and successors - largely exclude minimal GUTs); Lorentz-violation searches via gamma-ray burst timing (no violation found); LHC supersymmetry searches (no detection, simplest models disfavored); primordial gravitational wave B-mode searches (no confirmed detection)",This is an active methodological controversy within theoretical physics itself.,N/A
162,XVII. Empirical Test,Are its free parameters fitted or genuinely predicted?,"Fitted, in every current candidate, as established throughout Section IX.",Genuine prediction rather than fitting.,"String landscape (~10^500 vacua) with anthropic selection (Susskind, contested); no confirmed alternative derivation",No confirmed theory derives any Standard Model or cosmological parameter from first principles; all are measured inputs,N/A
163,XVII. Empirical Test,Can two competing theories produce the same observational consequences?,"Yes, in practice, at currently accessible energies. String theory and loop quantum gravity both reduce to the Standard Model plus GR at accessible scales.",A regime where the theories make distinguishable predictions.,"Proton decay searches (Super-Kamiokande and successors - largely exclude minimal GUTs); Lorentz-violation searches via gamma-ray burst timing (no violation found); LHC supersymmetry searches (no detection, simplest models disfavored); primordial gravitational wave B-mode searches (no confirmed detection)",Observational underdetermination between competing theories at accessible energies.,N/A
164,XVII. Empirical Test,"If so, what additional observation distinguishes them?",Not established. No confirmed observation currently distinguishes leading quantum gravity candidates from one another.,A confirmed discriminating observation.,"Proton decay searches (Super-Kamiokande and successors - largely exclude minimal GUTs); Lorentz-violation searches via gamma-ray burst timing (no violation found); LHC supersymmetry searches (no detection, simplest models disfavored); primordial gravitational wave B-mode searches (no confirmed detection)","The central weakness of current quantum gravity/unification research: no candidate theory has produced a distinctive, tested, confirmed prediction distinguishing it from the Standard Model plus General Relativity. The relevant energy scale, roughly 10^19 GeV, is far beyond the reach of any conceivable particle collider.",None confirmed.
